Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_40_4_0.patch,7,73,0
Chart,1,chart1_40_4_0.patch,8,73,0
Chart,1,chart1_40_4_0.patch,9,71,0
Chart,1,chart1_40_4_0.patch,10,67,0
Chart,1,chart1_40_5_0.patch,1,67,0
Chart,1,chart1_40_5_0.patch,2,73,0
Chart,1,chart1_40_5_0.patch,3,71,0
Chart,1,chart1_40_5_0.patch,4,78,0
Chart,1,chart1_40_5_0.patch,5,73,0
Chart,1,chart1_40_5_0.patch,6,67,0
Chart,1,chart1_40_5_0.patch,7,73,0
Chart,1,chart1_40_5_0.patch,8,73,0
Chart,1,chart1_40_5_0.patch,9,71,0
Chart,1,chart1_40_5_0.patch,10,67,0
Chart,1,chart1_60_1_0.patch,1,67,0
Chart,1,chart1_60_1_0.patch,2,73,0
Chart,1,chart1_60_1_0.patch,3,71,0
Chart,1,chart1_60_1_0.patch,4,78,0
Chart,1,chart1_60_1_0.patch,5,73,0
Chart,1,chart1_60_1_0.patch,6,67,0
Chart,1,chart1_60_1_0.patch,7,73,0
Chart,1,chart1_60_1_0.patch,8,73,0
Chart,1,chart1_60_1_0.patch,9,71,0
Chart,1,chart1_60_1_0.patch,10,67,0
Chart,1,chart1_60_2_0.patch,1,67,0
Chart,1,chart1_60_2_0.patch,2,73,0
Chart,1,chart1_60_2_0.patch,3,71,0
Chart,1,chart1_60_2_0.patch,4,78,0
Chart,1,chart1_60_2_0.patch,5,73,0
Chart,1,chart1_60_2_0.patch,6,67,0
Chart,1,chart1_60_2_0.patch,7,73,0
Chart,1,chart1_60_2_0.patch,8,73,0
Chart,1,chart1_60_2_0.patch,9,71,0
Chart,1,chart1_60_2_0.patch,10,67,0
Chart,1,chart1_60_3_0.patch,1,67,0
Chart,1,chart1_60_3_0.patch,2,73,0
Chart,1,chart1_60_3_0.patch,3,71,0
Chart,1,chart1_60_3_0.patch,4,78,0
Chart,1,chart1_60_3_0.patch,5,73,0
Chart,1,chart1_60_3_0.patch,6,67,0
Chart,1,chart1_60_3_0.patch,7,73,0
Chart,1,chart1_60_3_0.patch,8,73,0
Chart,1,chart1_60_3_0.patch,9,71,0
Chart,1,chart1_60_3_0.patch,10,67,0
Chart,1,chart1_60_4_0.patch,1,67,0
Chart,1,chart1_60_4_0.patch,2,73,0
Chart,1,chart1_60_4_0.patch,3,71,0
Chart,1,chart1_60_4_0.patch,4,78,0
Chart,1,chart1_60_4_0.patch,5,73,0
Chart,1,chart1_60_4_0.patch,6,67,0
Chart,1,chart1_60_4_0.patch,7,73,0
Chart,1,chart1_60_4_0.patch,8,73,0
Chart,1,chart1_60_4_0.patch,9,71,0
Chart,1,chart1_60_4_0.patch,10,67,0
Chart,1,chart1_60_5_0.patch,1,67,0
Chart,1,chart1_60_5_0.patch,2,73,0
Chart,1,chart1_60_5_0.patch,3,71,0
Chart,1,chart1_60_5_0.patch,4,78,0
Chart,1,chart1_60_5_0.patch,5,73,0
Chart,1,chart1_60_5_0.patch,6,67,0
Chart,1,chart1_60_5_0.patch,7,73,0
Chart,1,chart1_60_5_0.patch,8,73,0
Chart,1,chart1_60_5_0.patch,9,71,0
Chart,1,chart1_60_5_0.patch,10,67,0
Chart,1,chart1_80_1_0.patch,1,67,0
Chart,1,chart1_80_1_0.patch,2,73,0
Chart,1,chart1_80_1_0.patch,3,71,0
Chart,1,chart1_80_1_0.patch,4,78,0
Chart,1,chart1_80_1_0.patch,5,73,0
Chart,1,chart1_80_1_0.patch,6,67,0
Chart,1,chart1_80_1_0.patch,7,73,0
Chart,1,chart1_80_1_0.patch,8,73,0
Chart,1,chart1_80_1_0.patch,9,71,0
Chart,1,chart1_80_1_0.patch,10,67,0
Chart,1,chart1_80_2_0.patch,1,67,0
Chart,1,chart1_80_2_0.patch,2,73,0
Chart,1,chart1_80_2_0.patch,3,71,0
Chart,1,chart1_80_2_0.patch,4,78,0
Chart,1,chart1_80_2_0.patch,5,73,0
Chart,1,chart1_80_2_0.patch,6,67,0
Chart,1,chart1_80_2_0.patch,7,73,0
Chart,1,chart1_80_2_0.patch,8,73,0
Chart,1,chart1_80_2_0.patch,9,71,0
Chart,1,chart1_80_2_0.patch,10,67,0
Chart,1,chart1_80_3_0.patch,1,67,0
Chart,1,chart1_80_3_0.patch,2,73,0
Chart,1,chart1_80_3_0.patch,3,71,0
Chart,1,chart1_80_3_0.patch,4,78,0
Chart,1,chart1_80_3_0.patch,5,73,0
Chart,1,chart1_80_3_0.patch,6,67,0
Chart,1,chart1_80_3_0.patch,7,73,0
Chart,1,chart1_80_3_0.patch,8,73,0
Chart,1,chart1_80_3_0.patch,9,71,0
Chart,1,chart1_80_3_0.patch,10,67,0
Chart,1,chart1_80_4_0.patch,1,67,0
Chart,1,chart1_80_4_0.patch,2,73,0
Chart,1,chart1_80_4_0.patch,3,71,0
Chart,1,chart1_80_4_0.patch,4,78,0
Chart,1,chart1_80_4_0.patch,5,73,0
Chart,1,chart1_80_4_0.patch,6,67,0
Chart,1,chart1_80_4_0.patch,7,73,0
Chart,1,chart1_80_4_0.patch,8,73,0
Chart,1,chart1_80_4_0.patch,9,71,0
Chart,1,chart1_80_4_0.patch,10,67,0
Chart,1,chart1_80_5_0.patch,1,67,0
Chart,1,chart1_80_5_0.patch,2,73,0
Chart,1,chart1_80_5_0.patch,3,71,0
Chart,1,chart1_80_5_0.patch,4,78,0
Chart,1,chart1_80_5_0.patch,5,73,0
Chart,1,chart1_80_5_0.patch,6,67,0
Chart,1,chart1_80_5_0.patch,7,73,0
Chart,1,chart1_80_5_0.patch,8,73,0
Chart,1,chart1_80_5_0.patch,9,71,0
Chart,1,chart1_80_5_0.patch,10,67,0
Chart,18,chart18_100_1_0.patch,1,22,1
Chart,18,chart18_100_1_0.patch,2,20,1
Chart,18,chart18_100_1_0.patch,3,20,1
Chart,18,chart18_100_1_0.patch,4,22,1
Chart,18,chart18_100_1_0.patch,5,21,1
Chart,18,chart18_100_1_0.patch,6,21,1
Chart,18,chart18_100_1_0.patch,7,21,1
Chart,18,chart18_100_1_0.patch,8,22,1
Chart,18,chart18_100_1_0.patch,9,23,1
Chart,18,chart18_100_1_0.patch,10,20,1
Chart,18,chart18_100_2_0.patch,1,22,1
Chart,18,chart18_100_2_0.patch,2,20,1
Chart,18,chart18_100_2_0.patch,3,20,1
Chart,18,chart18_100_2_0.patch,4,22,1
Chart,18,chart18_100_2_0.patch,5,21,1
Chart,18,chart18_100_2_0.patch,6,21,1
Chart,18,chart18_100_2_0.patch,7,21,1
Chart,18,chart18_100_2_0.patch,8,22,1
Chart,18,chart18_100_2_0.patch,9,23,1
Chart,18,chart18_100_2_0.patch,10,20,1
Chart,18,chart18_100_3_0.patch,1,22,1
Chart,18,chart18_100_3_0.patch,2,20,1
Chart,18,chart18_100_3_0.patch,3,20,1
Chart,18,chart18_100_3_0.patch,4,22,1
Chart,18,chart18_100_3_0.patch,5,21,1
Chart,18,chart18_100_3_0.patch,6,21,1
Chart,18,chart18_100_3_0.patch,7,21,1
Chart,18,chart18_100_3_0.patch,8,22,1
Chart,18,chart18_100_3_0.patch,9,23,1
Chart,18,chart18_100_3_0.patch,10,20,1
Chart,18,chart18_100_4_4.patch,1,22,2
Chart,18,chart18_100_4_4.patch,2,20,2
Chart,18,chart18_100_4_4.patch,3,20,2
Chart,18,chart18_100_4_4.patch,4,22,2
Chart,18,chart18_100_4_4.patch,5,21,2
Chart,18,chart18_100_4_4.patch,6,21,2
Chart,18,chart18_100_4_4.patch,7,21,2
Chart,18,chart18_100_4_4.patch,8,22,2
Chart,18,chart18_100_4_4.patch,9,23,2
Chart,18,chart18_100_4_4.patch,10,20,2
Chart,18,chart18_100_4_5.patch,1,22,2
Chart,18,chart18_100_4_5.patch,2,20,2
Chart,18,chart18_100_4_5.patch,3,20,2
Chart,18,chart18_100_4_5.patch,4,22,2
Chart,18,chart18_100_4_5.patch,5,21,2
Chart,18,chart18_100_4_5.patch,6,21,2
Chart,18,chart18_100_4_5.patch,7,21,2
Chart,18,chart18_100_4_5.patch,8,22,2
Chart,18,chart18_100_4_5.patch,9,23,2
Chart,18,chart18_100_4_5.patch,10,20,2
Chart,18,chart18_100_4_6.patch,1,22,1
Chart,18,chart18_100_4_6.patch,2,20,1
Chart,18,chart18_100_4_6.patch,3,20,1
Chart,18,chart18_100_4_6.patch,4,22,1
Chart,18,chart18_100_4_6.patch,5,21,1
Chart,18,chart18_100_4_6.patch,6,21,1
Chart,18,chart18_100_4_6.patch,7,21,1
Chart,18,chart18_100_4_6.patch,8,22,1
Chart,18,chart18_100_4_6.patch,9,23,1
Chart,18,chart18_100_4_6.patch,10,20,1
Chart,18,chart18_100_5_0.patch,1,22,1
Chart,18,chart18_100_5_0.patch,2,20,1
Chart,18,chart18_100_5_0.patch,3,20,1
Chart,18,chart18_100_5_0.patch,4,22,1
Chart,18,chart18_100_5_0.patch,5,21,1
Chart,18,chart18_100_5_0.patch,6,21,1
Chart,18,chart18_100_5_0.patch,7,21,1
Chart,18,chart18_100_5_0.patch,8,22,1
Chart,18,chart18_100_5_0.patch,9,23,1
Chart,18,chart18_100_5_0.patch,10,20,1
Chart,18,chart18_20_1_0.patch,1,22,1
Chart,18,chart18_20_1_0.patch,2,20,1
Chart,18,chart18_20_1_0.patch,3,20,1
Chart,18,chart18_20_1_0.patch,4,22,1
Chart,18,chart18_20_1_0.patch,5,21,1
Chart,18,chart18_20_1_0.patch,6,21,1
Chart,18,chart18_20_1_0.patch,7,21,1
Chart,18,chart18_20_1_0.patch,8,22,1
Chart,18,chart18_20_1_0.patch,9,23,1
Chart,18,chart18_20_1_0.patch,10,20,1
Chart,18,chart18_20_2_0.patch,1,22,1
Chart,18,chart18_20_2_0.patch,2,20,1
Chart,18,chart18_20_2_0.patch,3,20,1
Chart,18,chart18_20_2_0.patch,4,22,1
Chart,18,chart18_20_2_0.patch,5,21,1
Chart,18,chart18_20_2_0.patch,6,21,1
Chart,18,chart18_20_2_0.patch,7,21,1
Chart,18,chart18_20_2_0.patch,8,22,1
Chart,18,chart18_20_2_0.patch,9,23,1
Chart,18,chart18_20_2_0.patch,10,20,1
Chart,18,chart18_20_3_0.patch,1,22,1
Chart,18,chart18_20_3_0.patch,2,20,1
Chart,18,chart18_20_3_0.patch,3,20,1
Chart,18,chart18_20_3_0.patch,4,22,1
Chart,18,chart18_20_3_0.patch,5,21,1
Chart,18,chart18_20_3_0.patch,6,21,1
Chart,18,chart18_20_3_0.patch,7,21,1
Chart,18,chart18_20_3_0.patch,8,22,1
Chart,18,chart18_20_3_0.patch,9,23,1
Chart,18,chart18_20_3_0.patch,10,20,1
Chart,18,chart18_20_4_0.patch,1,22,1
Chart,18,chart18_20_4_0.patch,2,20,1
Chart,18,chart18_20_4_0.patch,3,20,1
Chart,18,chart18_20_4_0.patch,4,22,1
Chart,18,chart18_20_4_0.patch,5,21,1
Chart,18,chart18_20_4_0.patch,6,21,1
Chart,18,chart18_20_4_0.patch,7,21,1
Chart,18,chart18_20_4_0.patch,8,22,1
Chart,18,chart18_20_4_0.patch,9,23,1
Chart,18,chart18_20_4_0.patch,10,20,1
Chart,18,chart18_20_5_0.patch,1,22,1
Chart,18,chart18_20_5_0.patch,2,20,1
Chart,18,chart18_20_5_0.patch,3,20,1
Chart,18,chart18_20_5_0.patch,4,22,1
Chart,18,chart18_20_5_0.patch,5,21,1
Chart,18,chart18_20_5_0.patch,6,21,1
Chart,18,chart18_20_5_0.patch,7,21,1
Chart,18,chart18_20_5_0.patch,8,22,1
Chart,18,chart18_20_5_0.patch,9,23,1
Chart,18,chart18_20_5_0.patch,10,20,1
Chart,18,chart18_40_1_0.patch,1,22,1
Chart,18,chart18_40_1_0.patch,2,20,1
Chart,18,chart18_40_1_0.patch,3,20,1
Chart,18,chart18_40_1_0.patch,4,22,1
