Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_100_3_seed3_StmtReplace_603_177.patch,7,82,0
Chart,1,chart1_100_3_seed3_StmtReplace_603_177.patch,8,69,1
Chart,1,chart1_100_3_seed3_StmtReplace_603_177.patch,9,79,1
Chart,1,chart1_100_3_seed3_StmtReplace_603_177.patch,10,77,1
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,1,88,1
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,2,85,0
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,3,73,0
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,4,82,1
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,5,76,0
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,6,83,1
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,7,82,0
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,8,69,1
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,9,79,1
Chart,1,chart1_100_3_seed4_StmtReplace_601_2.patch,10,77,1
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,1,88,1
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,2,85,0
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,3,73,0
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,4,82,1
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,5,76,0
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,6,83,1
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,7,82,0
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,8,69,1
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,9,79,1
Chart,1,chart1_100_3_seed5_StmtDelete_601.patch,10,77,1
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,1,88,1
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,2,85,0
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,3,73,1
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,4,82,1
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,5,76,1
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,6,83,1
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,7,82,0
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,8,69,2
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,9,79,1
Chart,1,chart1_100_3_seed7_StmtReplace_601_6.patch,10,77,1
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,1,88,1
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,2,85,0
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,3,73,0
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,4,82,1
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,5,76,0
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,6,83,1
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,7,82,0
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,8,69,1
Chart,1,chart1_100_3_seed8_StmtReplace_603_151.patch,9,79,1
