Project,Bug,TSSeed,NumberOfTests,NumberOfFailingTests
closure,closure38,3,2,0
closure,closure38,4,2,0
closure,closure38,5,2,0
closure,closure38,6,2,0
closure,closure38,7,2,0
closure,closure38,8,2,0
closure,closure38,9,2,0
closure,closure38,10,2,0
closure,closure45,1,3,0
closure,closure45,2,4,0
closure,closure45,3,6,0
closure,closure45,4,6,0
closure,closure45,5,7,0
closure,closure45,6,3,0
closure,closure45,7,3,0
closure,closure45,8,3,0
closure,closure45,9,5,0
closure,closure45,10,5,0
closure,closure46,1,10,0
closure,closure46,2,8,0
closure,closure46,3,10,0
closure,closure46,4,10,0
closure,closure46,5,9,0
closure,closure46,6,11,0
closure,closure46,7,10,0
closure,closure46,8,10,0
closure,closure46,9,9,0
closure,closure46,10,8,0
closure,closure62,1,6,0
closure,closure62,2,6,0
closure,closure62,3,7,0
closure,closure62,4,7,0
closure,closure62,5,7,0
closure,closure62,6,6,0
closure,closure62,7,6,0
closure,closure62,8,7,0
closure,closure62,9,8,0
closure,closure62,10,7,0
closure,closure63,1,6,0
closure,closure63,2,6,0
closure,closure63,3,7,0
closure,closure63,4,6,0
closure,closure63,5,6,0
closure,closure63,6,6,0
closure,closure63,7,6,0
closure,closure63,8,7,0
closure,closure63,9,6,0
closure,closure63,10,6,0
closure,closure64,1,91,0
closure,closure64,2,83,0
closure,closure64,3,147,16
closure,closure64,4,89,0
closure,closure64,5,84,0
closure,closure64,6,87,0
closure,closure64,7,81,0
closure,closure64,8,81,0
closure,closure64,9,85,0
closure,closure64,10,85,0
closure,closure66,1,28,0
closure,closure66,2,29,0
closure,closure66,3,35,0
closure,closure66,4,24,0
closure,closure66,5,31,1
closure,closure66,6,24,0
closure,closure66,7,31,0
closure,closure66,8,26,0
closure,closure66,9,33,0
closure,closure66,10,26,0
closure,closure83,1,6,0
closure,closure83,2,6,0
closure,closure83,3,4,0
closure,closure83,4,6,0
closure,closure83,5,6,0
closure,closure83,6,4,0
closure,closure83,7,6,0
closure,closure83,8,6,0
closure,closure83,9,4,0
closure,closure83,10,6,0
closure,closure86,1,150,1
closure,closure86,2,194,0
closure,closure86,3,187,1
closure,closure86,4,196,1
closure,closure86,5,188,0
closure,closure86,6,187,0
closure,closure86,7,215,1
closure,closure86,8,154,0
closure,closure86,9,175,1
closure,closure86,10,183,0
lang,lang10,1,18,0
lang,lang10,2,18,0
lang,lang10,3,17,0
lang,lang10,4,24,0
lang,lang10,5,21,0
lang,lang10,6,21,0
lang,lang10,7,21,0
lang,lang10,8,20,0
lang,lang10,9,23,0
lang,lang10,10,21,0
lang,lang22,1,53,0
lang,lang22,2,49,0
lang,lang22,3,53,0
lang,lang22,4,46,0
lang,lang22,5,50,0
lang,lang22,6,53,0
lang,lang22,7,59,0
lang,lang22,8,55,0
lang,lang22,9,49,0
lang,lang22,10,47,0
lang,lang24,1,111,0
lang,lang24,2,113,0
lang,lang24,3,115,0
lang,lang24,4,109,0
lang,lang24,5,111,0
lang,lang24,6,113,0
lang,lang24,7,115,0
lang,lang24,8,111,0
lang,lang24,9,107,0
lang,lang24,10,109,0
lang,lang33,1,66,1
lang,lang33,2,66,1
lang,lang33,3,66,1
lang,lang33,4,66,1
lang,lang33,5,66,1
lang,lang33,6,66,1
lang,lang33,7,66,1
lang,lang33,8,66,1
lang,lang33,9,66,1
lang,lang33,10,66,1
lang,lang39,1,305,1
lang,lang39,2,305,1
lang,lang39,3,306,2
lang,lang39,4,312,1
lang,lang39,5,307,1
lang,lang39,6,307,2
lang,lang39,7,315,2
lang,lang39,8,304,0
lang,lang39,9,306,0
lang,lang39,10,307,1
lang,lang43,1,10,0
lang,lang43,2,9,0
lang,lang43,3,9,0
lang,lang43,4,10,0
lang,lang43,5,10,0
lang,lang43,6,11,0
lang,lang43,7,9,0
lang,lang43,8,11,0
lang,lang43,9,11,0
lang,lang43,10,11,0
lang,lang44,1,48,0
lang,lang44,2,54,0
lang,lang44,3,49,1
lang,lang44,4,49,0
lang,lang44,5,51,0
lang,lang44,6,53,1
lang,lang44,7,52,0
lang,lang44,8,52,0
lang,lang44,9,53,0
lang,lang44,10,52,0
lang,lang45,1,24,1
lang,lang45,2,20,1
lang,lang45,3,21,1
lang,lang45,4,23,1
lang,lang45,5,21,1
lang,lang45,6,22,1
lang,lang45,7,20,1
lang,lang45,8,22,1
lang,lang45,9,20,1
lang,lang45,10,22,1
lang,lang51,1,80,0
lang,lang51,2,81,0
lang,lang51,3,80,0
lang,lang51,4,81,0
lang,lang51,5,74,0
lang,lang51,6,80,0
lang,lang51,7,79,0
lang,lang51,8,81,0
lang,lang51,9,80,0
lang,lang51,10,81,0
lang,lang58,1,133,0
lang,lang58,2,130,1
lang,lang58,3,134,1
lang,lang58,4,136,0
lang,lang58,5,132,0
lang,lang58,6,136,1
lang,lang58,7,132,0
lang,lang58,8,134,1
lang,lang58,9,133,1
lang,lang58,10,134,1
lang,lang59,1,156,3
lang,lang59,2,161,0
lang,lang59,3,157,0
lang,lang59,4,157,1
lang,lang59,5,159,1
lang,lang59,6,166,1
lang,lang59,7,155,0
lang,lang59,8,156,0
lang,lang59,9,157,0
lang,lang59,10,157,1
lang,lang63,1,15,0
lang,lang63,2,16,0
lang,lang63,3,15,0
lang,lang63,4,13,0
lang,lang63,5,15,0
lang,lang63,6,14,0
lang,lang63,7,14,0
lang,lang63,8,15,0
lang,lang63,9,16,0
lang,lang63,10,14,0
lang,lang7,1,110,2
lang,lang7,2,115,1
lang,lang7,3,113,2
lang,lang7,4,115,1
lang,lang7,5,111,2
lang,lang7,6,110,1
lang,lang7,7,113,2
lang,lang7,8,109,2
lang,lang7,9,116,1
lang,lang7,10,112,2
math,math18,1,14,0
math,math18,2,13,0
math,math18,3,18,0
math,math18,4,13,0
math,math18,5,13,0
math,math18,6,17,0
math,math18,7,16,0
math,math18,8,14,0
math,math18,9,13,0
math,math18,10,13,0
math,math2,1,14,0
math,math2,2,13,0
math,math2,3,13,0
math,math2,4,13,0
math,math2,5,13,0
math,math2,6,14,0
math,math2,7,13,0
math,math2,8,14,0
math,math2,9,13,0
math,math2,10,12,0
math,math20,1,12,0
math,math20,2,13,0
math,math20,3,16,0
math,math20,4,10,0
math,math20,5,14,0
math,math20,6,17,0
math,math20,7,17,0
math,math20,8,13,0
math,math20,9,12,0
math,math20,10,11,0
math,math24,1,13,0
math,math24,2,8,2
math,math24,3,8,2
math,math24,4,8,2
math,math24,5,7,0
math,math24,6,7,0
math,math24,7,6,1
math,math24,8,6,1
math,math24,9,6,1
math,math24,10,6,1
math,math28,1,4,0
math,math28,2,5,0
math,math28,3,5,0
math,math28,4,3,0
math,math28,5,5,1
math,math28,6,3,0
math,math28,7,7,0
math,math28,8,4,0
math,math28,9,4,0
math,math28,10,5,0
math,math29,1,43,1
math,math29,2,47,1
math,math29,3,45,1
math,math29,4,43,0
math,math29,5,44,0
math,math29,6,44,0
math,math29,7,44,1
math,math29,8,41,2
math,math29,9,44,1
math,math29,10,45,1
math,math40,1,14,3
math,math40,2,14,1
math,math40,3,15,4
math,math40,4,14,0
math,math40,5,15,1
math,math40,6,15,0
math,math40,7,14,2
math,math40,8,16,0
math,math40,9,15,0
math,math40,10,16,0
math,math49,1,46,0
math,math49,2,50,0
math,math49,3,49,0
math,math49,4,49,0
math,math49,5,51,0
math,math49,6,47,0
math,math49,7,44,0
math,math49,8,51,0
math,math49,9,48,0
math,math49,10,50,1
math,math5,1,57,1
math,math5,2,59,1
math,math5,3,60,1
math,math5,4,57,1
math,math5,5,57,1
math,math5,6,58,1
math,math5,7,57,1
math,math5,8,60,1
math,math5,9,58,0
math,math5,10,58,0
math,math50,1,13,0
math,math50,2,13,0
math,math50,3,13,1
math,math50,4,14,0
math,math50,5,13,0
math,math50,6,14,0
math,math50,7,13,0
math,math50,8,13,0
math,math50,9,13,0
math,math50,10,14,0
math,math53,1,37,0
math,math53,2,37,0
math,math53,3,39,0
math,math53,4,38,0
math,math53,5,42,0
math,math53,6,39,0
math,math53,7,38,0
math,math53,8,35,0
math,math53,9,38,0
math,math53,10,40,0
math,math62,1,9,0
math,math62,2,7,0
math,math62,3,6,0
math,math62,4,6,0
math,math62,5,5,0
math,math62,6,6,0
math,math62,7,6,0
math,math62,8,9,0
math,math62,9,8,0
math,math62,10,9,0
math,math7,1,30,0
math,math7,2,14,0
math,math7,3,15,0
math,math7,4,13,0
math,math7,5,17,0
math,math7,6,13,0
math,math7,7,15,0
math,math7,8,14,0
math,math7,9,13,0
