Bug,TotalTestCases,FailedTestCases
Chart13,221,0
Chart1,794,6
Chart25,161,39
Chart26,607,8
Chart3,701,0
Chart5,369,0
Closure107,44,0
Closure115,93,0
Closure126,124,0
Closure13,31,0
Closure21,64,0
Closure22,69,0
Closure46,180,0
Lang10,446,0
Lang43,133,18
Lang63,206,3
Lang7,1391,14
Math18,146,11
Math20,136,11
Math28,19,0
Math40,181,26
Math50,175,0
Math80,240,5
Math81,261,0
Math85,108,19
